,event_change_message,event_title,event_location,event_time,event_group,event_type,event_descr,event_register
0,,Bibliobop - 0 years & up , Niles-Maine District Library - Commons Meeting Room A&B,"Friday, October 11: 10:00am - 10:45am",Age group:  Kids,events type:   Storytimes ,Bring your family and friends as we crank up the tunes and boogie down in the library! It’s fun for the whole family! DJ Miss Cate will be spinning the best tunes from our terrific music collection.  ,False
1,,Health Apps for You, Niles-Maine District Library - Studio B,"Friday, October 11: 10:00am - 11:30am",Age group:  Adults,events type:   Computers & Technology ,From tracking steps to tracking medicines – there’s probably an app for that. Sign up to see what works for you. ,False
2,,Horror Trivia Night - Grades 7-12, Niles-Maine District Library - Teen Underground,"Friday, October 11: 4:00pm - 6:00pm",Age group:  Teens,events type:   Games ,Join us in the Teen Underground for an extra spooky trivia night and see if you have what it takes to be crowned Master of Horror. Prizes will be awarded to the winners. ,False
3,,Knights of Niles Chess - Grades 1 and up, Niles-Maine District Library - Commons Meeting Room A&B,"Friday, October 11: 4:30pm - 5:15pm",Age group:  Kids,events type:   Games ,Drop in Fridays to learn the exciting game of Chess. Mr. Chris is available to work with novices and experienced players alike. Caregivers need to stay in the room with children through grade 2.,False
4,,Shakespeare Project of Chicago  - Hamlet, Niles-Maine District Library - Commons Meeting Room A&B,"Friday, October 11: 6:45pm - 9:30pm","Age group:  Teens, Adults, 20s-30s",events type:   Performance ,"""To be or not to be, that is the question.""
J.R. Sullivan directs.",True
5,,Baby Lapsit Storytime   - 0-15 months , Niles-Maine District Library - KidSpace Program Room,"Saturday, October 12: 9:30am - 10:15am",Age group:  Kids,events type:   Storytimes ,"Join us first thing Saturday morning for our new storytime! We will share simple stories, songs, rhymes, and other activities for you and your child to enjoy together. ",False
6,,Second Saturday Breakfast Bingo - Grades K-8, Niles-Maine District Library - Commons Meeting Room A&B,"Saturday, October 12: 9:30am - 10:15am",Age group:  Kids,events type:   Special Events ,"Families are welcome to join us for Breakfast Bingo. We start with a few games of picture bingo, and shift to number bingo at the end.",False
7,,World Language Storytime - Russian, Niles-Maine District Library - Commons Meeting Room A&B,"Saturday, October 12: 11:30am - 12:30pm",Age group:  Kids,events type:   Storytimes  Education & Learning ,Join us to hear stories and songs in Russian (with a bit of English). Followed by a craft and a snack. For ages 3 and up with a caregiver.  ,False
8,,3D Printing Basics, Niles-Maine District Library - Studio B,"Saturday, October 12: 2:00pm - 3:30pm","Age group:  Adults, 20s-30s",events type:   Crafts & Making  Computers & Technology ,What is 3D printing and how does it work? We will look at some the 3D modeling and design software available for creating objects.,True
9,,Second Sunday Special          - Incredible Bats, Niles-Maine District Library - Commons Meeting Room A&B,"Sunday, October 13: 2:00pm - 3:00pm","Age group:  Kids, Adults",events type:   Performance ,"We have bats in the library! Attendees will learn what bats eat, where they live, and many other interesting facts. Pick up free tickets in KidSpace 30 minutes ahead of time. Seating is limited.",False
10,Canceled,New Yorker Discussion Group, Niles-Maine District Library,"Monday, October 14: 9:30am - 11:30am",Age group:  Adults,events type:   Education & Learning ,Group meets weekly to discuss the magazine The New Yorker. ,False
