,event_change_message,event_title,event_location,event_time,event_group,event_type,event_descr,event_register,event_start_time,event_end_time
0,,Chair Yoga for Adults,Niles-Maine District Library - Commons Meeting Room A&B,"Thursday, September 12: 9:30am - 10:30am",Adults,Health,"Yoga can improve your flexibility, strength, and concentration plus reduce joint pain. Join us for Chair Yoga with Joan.",True,2019-09-12 09:30:00,2019-09-12 10:30:00
1,,"Toddler-Parent Playgroup - For Toddlers 12-36 months, with a Grown-Up",Niles-Maine District Library - KidSpace Program Room,"Thursday, September 12: 9:30am - 11:00am",Kids,Storytimes,"Join us for a Montessori-inspired playgroup! This playgroup is designed to be a learning experience for toddlers, as well as giving them the opportunity to build social skills and independence.",False,2019-09-12 09:30:00,2019-09-12 11:00:00
2,,Pomoc Komputerowa w Jezyku Polskim  - Polish Computer Help,Niles-Maine District Library - Studio B,"Thursday, September 12: 1:00pm - 2:00pm",Adults,Computers & Technology,"Masz pytanie na temat komputera? Zarejestruj i przyjdź z listą pytań lub rzeczy, o które chcesz zapytać.",False,2019-09-12 13:00:00,2019-09-12 14:00:00
3,,Wonder Ground - Library Science,Niles-Maine District Library - KidSpace Wonder Ground,"Thursday, September 12: 4:00pm - 6:00pm",Kids,Education & Learning,"Kids in grades K-4, start your school year off right by learning all the tricks librarians use to find great books and learn new things.",False,2019-09-12 16:00:00,2019-09-12 18:00:00
4,,ESL: English as a Second Language,Niles-Maine District Library - Commons Meeting Room A&B,"Thursday, September 12: 6:00pm - 8:45pm","Adults, 20s-30s",ESL & Citizenship,"Improve your English speaking, reading, and writing skills. For more information, contact the ESL Department at Oakton Community College. Phone 847-635-1426 or email adulted@oakton.edu",False,2019-09-12 18:00:00,2019-09-12 20:45:00
5,,World Language Storytime  - Polish,Niles-Maine District Library,"Thursday, September 12: 6:30pm - 7:30pm",Kids,Storytimes,Enjoy stories and songs in Polish (with a bit of English). Followed by a craft and a snack. For ages 3 and up with a caregiver.,False,2019-09-12 18:30:00,2019-09-12 19:30:00
6,,Bibliobop - 0 years & up,Niles-Maine District Library - Commons Meeting Room A&B,"Friday, September 13: 10:00am - 10:45am",Kids,Storytimes,Bring your family and friends as we crank up the tunes and boogie down in the library! It’s fun for the whole family! DJ Miss Cate will be spinning the best tunes from our terrific music collection.,False,2019-09-13 10:00:00,2019-09-13 10:45:00
7,,Movies in the Teen Underground: Escape Room - Grades 7-12,Niles-Maine District Library - Teen Underground,"Friday, September 13: 4:00pm - 5:40pm",Teens,Film,"Enjoy some pizza while we watch Escape Room. 99 min., PG-13.",False,2019-09-13 16:00:00,2019-09-13 17:40:00
8,,Baby Lapsit Storytime   - 0-15 months,Niles-Maine District Library - KidSpace Program Room,"Saturday, September 14: 9:30am - 10:15am",Kids,Storytimes,"Join us first thing Saturday morning for our new storytime! We will share simple stories, songs, rhymes, and other activities for you and your child to enjoy together.",False,2019-09-14 09:30:00,2019-09-14 10:15:00
9,,Second Saturday Breakfast Bingo - Grades K-8,Niles-Maine District Library - Commons Meeting Room A&B,"Saturday, September 14: 9:30am - 10:15am",Kids,Special Events,"Families are welcome to join us for Breakfast Bingo. We start with a few games of picture bingo, and shift to number bingo at the end.",False,2019-09-14 09:30:00,2019-09-14 10:15:00
